date,units_sold,marketing_spend,avg_temp_c
2023-01-01,505,1014.2,8.1
2023-01-02,502,1002.66,4.7
2023-01-03,540,1037.72,4.4
2023-01-04,531,1013.91,7.0
2023-01-05,458,981.75,8.0
2023-01-06,457,978.15,6.1
2023-01-07,489,1012.84,3.4
2023-01-08,502,1021.38,3.3
2023-01-09,527,975.7,3.1
2023-01-10,518,954.62,2.5
2023-01-11,537,1047.24,6.2
2023-01-12,514,1038.09,8.3
2023-01-13,489,967.88,6.0
2023-01-14,514,961.9,1.5
2023-01-15,523,1016.28,5.7
2023-01-16,519,1034.67,5.7
2023-01-17,547,1073.14,10.3
2023-01-18,511,1019.51,3.2
2023-01-19,523,1004.51,5.4
2023-01-20,494,974.07,9.6
2023-01-21,497,998.49,7.1
2023-01-22,509,997.92,7.4
2023-01-23,564,1013.02,6.5
2023-01-24,545,1078.22,7.0
2023-01-25,527,1060.83,8.0
2023-01-26,508,1033.2,4.9
2023-01-27,511,983.58,8.3
2023-01-28,514,1029.78,3.8
2023-01-29,535,1036.99,7.3
2023-01-30,556,1044.66,7.1
2023-01-31,593,1087.04,5.6
2023-02-01,534,1036.28,6.8
2023-02-02,511,1025.1,5.7
2023-02-03,493,1011.72,4.9
2023-02-04,525,1023.52,6.4
2023-02-05,554,987.81,5.0
2023-02-06,552,1033.29,7.9
2023-02-07,545,1013.1,5.1
2023-02-08,532,987.2,8.9
2023-02-09,538,1064.85,5.2
2023-02-10,527,1059.42,6.6
2023-02-11,529,1051.38,6.6
2023-02-12,528,1023.18,10.6
2023-02-13,564,1072.17,8.7
2023-02-14,568,1041.1,7.7
2023-02-15,557,1039.27,9.3
2023-02-16,548,1001.46,4.2
2023-02-17,523,1023.72,8.4
2023-02-18,537,1023.71,12.6
2023-02-19,546,995.03,9.0
2023-02-20,570,1040.72,9.0
2023-02-21,582,1047.21,10.1
2023-02-22,531,1063.54,11.0
2023-02-23,531,1040.96,5.3
2023-02-24,515,1009.29,6.1
2023-02-25,518,1017.02,10.0
2023-02-26,544,1027.51,8.3
2023-02-27,596,1052.53,12.5
2023-02-28,559,1008.34,9.4
2023-03-01,579,1043.62,6.4
2023-03-02,510,987.35,7.8
2023-03-03,522,981.94,5.0
2023-03-04,536,1034.38,10.2
2023-03-05,564,1048.18,10.5
2023-03-06,586,1006.93,10.2
2023-03-07,593,1052.73,13.4
2023-03-08,559,1060.29,13.8
2023-03-09,536,1048.08,11.2
2023-03-10,546,1053.25,7.5
2023-03-11,533,1020.77,13.1
2023-03-12,533,998.67,13.2
2023-03-13,556,1006.51,12.9
2023-03-14,565,1047.62,14.4
2023-03-15,577,1055.68,10.3
2023-03-16,549,1061.58,16.8
2023-03-17,546,1055.1,11.1
2023-03-18,531,1015.29,14.7
2023-03-19,561,1005.49,10.0
2023-03-20,589,1045.42,11.7
2023-03-21,577,1051.63,16.8
2023-03-22,578,1041.75,13.4
2023-03-23,536,1007.15,15.8
2023-03-24,528,1023.12,14.8
2023-03-25,533,1007.2,14.3
2023-03-26,538,1007.1,17.5
2023-03-27,588,1060.59,14.5
2023-03-28,576,1035.55,11.6
2023-03-29,571,1048.7,13.7
2023-03-30,558,1041.63,16.6
2023-03-31,544,997.91,16.5
2023-04-01,552,1019.17,12.8
2023-04-02,558,1070.74,14.7
2023-04-03,572,1014.15,15.2
2023-04-04,583,996.88,15.8
2023-04-05,540,977.45,14.0
2023-04-06,523,1014.53,15.7
2023-04-07,512,1007.97,15.7
2023-04-08,522,1010.26,18.9
2023-04-09,567,1070.55,19.2
2023-04-10,563,970.98,17.5
2023-04-11,577,1056.1,17.2
2023-04-12,593,1094.84,18.5
2023-04-13,542,997.01,16.8
2023-04-14,548,1019.3,16.3
2023-04-15,522,994.38,16.9
2023-04-16,555,1010.64,17.8
2023-04-17,561,1028.44,16.9
2023-04-18,576,1081.29,19.8
2023-04-19,584,1096.33,21.1
2023-04-20,515,1000.6,16.7
2023-04-21,540,1071.63,20.1
2023-04-22,541,1025.49,19.8
2023-04-23,546,1071.44,21.1
2023-04-24,549,1027.07,20.6
2023-04-25,581,1051.88,18.0
2023-04-26,556,1042.74,18.5
2023-04-27,548,1108.27,21.3
2023-04-28,530,1039.28,23.5
2023-04-29,563,1020.12,17.2
2023-04-30,549,1053.62,22.5
2023-05-01,554,1023.35,24.4
2023-05-02,580,1035.76,21.9
2023-05-03,567,1062.92,23.5
2023-05-04,565,1039.78,21.2
2023-05-05,541,1031.56,22.6
2023-05-06,537,1022.55,19.8
2023-05-07,576,1054.01,18.5
2023-05-08,547,1038.82,25.3
2023-05-09,561,988.18,21.6
