,y,day_of_week,week_of_year,month_of_year,quarter_of_year,year,t,is_weekend,month_sin,month_cos,quarter_sin,quarter_cos,week_sin,week_cos,is_holiday,before_holiday_1,before_holiday_2,after_holiday_1,after_holiday_2,lag_7,lag_14,lag_28,roll_max_3,roll_mean_7,roll_max_7,roll_mean_28,roll_std_7,interaction_trend_vol,trend_weekday_only
2024-09-17,28.0,1,38,9,3,2024,28,0,-1.0,-1.8369701987210297e-16,-1.0,-1.8369701987210297e-16,-0.992708874098054,-0.12053668025532357,0,0,0,0,1,43.0,18.0,0.0,54.0,31.142857142857142,54.0,15.25,18.97743020387263,591.0113977777476,31.142857142857142
2024-09-18,38.0,2,38,9,3,2024,29,0,-1.0,-1.8369701987210297e-16,-1.0,-1.8369701987210297e-16,-0.992708874098054,-0.12053668025532357,0,0,0,0,0,49.0,31.0,0.0,28.0,29.0,54.0,16.25,18.24828759089466,529.2003401359451,29.0
2024-09-19,45.0,3,38,9,3,2024,30,0,-1.0,-1.8369701987210297e-16,-1.0,-1.8369701987210297e-16,-0.992708874098054,-0.12053668025532357,0,0,0,0,0,26.0,13.0,6.0,38.0,27.428571428571427,54.0,17.607142857142858,16.64188633996702,456.4631681819525,27.428571428571427
2024-09-20,21.0,4,38,9,3,2024,31,0,-1.0,-1.8369701987210297e-16,-1.0,-1.8369701987210297e-16,-0.992708874098054,-0.12053668025532357,0,0,0,0,0,18.0,23.0,6.0,45.0,30.142857142857142,54.0,19.0,17.873896902359892,538.770320913991,30.142857142857142
2024-09-21,0.0,5,38,9,3,2024,32,1,-1.0,-1.8369701987210297e-16,-1.0,-1.8369701987210297e-16,-0.992708874098054,-0.12053668025532357,0,0,0,0,0,54.0,0.0,0.0,45.0,30.571428571428573,54.0,19.535714285714285,17.567556677553302,537.0653041423438,0.0
2024-09-22,1.0,6,38,9,3,2024,33,1,-1.0,-1.8369701987210297e-16,-1.0,-1.8369701987210297e-16,-0.992708874098054,-0.12053668025532357,0,0,0,0,0,0.0,0.0,0.0,45.0,22.857142857142858,45.0,19.535714285714285,17.42056802966512,398.1844121066313,0.0
2024-09-23,47.0,0,39,9,3,2024,34,0,-1.0,-1.8369701987210297e-16,-1.0,-1.8369701987210297e-16,-1.0,-1.8369701987210297e-16,0,0,0,0,0,28.0,51.0,1.0,21.0,23.0,45.0,19.571428571428573,17.204650534085253,395.7069622839608,23.0
2024-09-24,21.0,1,39,9,3,2024,35,0,-1.0,-1.8369701987210297e-16,-1.0,-1.8369701987210297e-16,-1.0,-1.8369701987210297e-16,0,0,0,0,0,28.0,43.0,4.0,47.0,25.714285714285715,47.0,21.214285714285715,19.474036439272037,500.7609370098524,25.714285714285715
2024-09-25,48.0,2,39,9,3,2024,36,0,-1.0,-1.8369701987210297e-16,-1.0,-1.8369701987210297e-16,-1.0,-1.8369701987210297e-16,0,0,0,0,0,38.0,49.0,7.0,47.0,24.714285714285715,47.0,21.821428571428573,19.516781545755997,482.3433153451125,24.714285714285715
2024-09-26,36.0,3,39,9,3,2024,37,0,-1.0,-1.8369701987210297e-16,-1.0,-1.8369701987210297e-16,-1.0,-1.8369701987210297e-16,0,0,0,0,0,45.0,26.0,1.0,48.0,26.142857142857142,48.0,23.285714285714285,20.96368742555065,548.0506855536812,26.142857142857142
