Date,Marketing_Spend,Temperature_C,Is_Holiday,Competitor_Price
2023-01-01,1058.28,6.4,0,50.08
2023-01-02,1003.38,-0.0,0,50.06
2023-01-03,1090.58,8.2,0,50.11
2023-01-04,1186.7,6.5,0,49.99
2023-01-05,1019.57,5.8,0,49.51
2023-01-06,1028.14,8.0,0,49.48
2023-01-07,1218.03,10.0,0,49.76
2023-01-08,1145.38,8.0,0,49.95
2023-01-09,1030.21,-0.5,0,50.14
2023-01-10,1139.9,1.2,0,50.39
2023-01-11,1047.77,3.1,0,50.41
2023-01-12,1055.98,5.1,0,50.45
2023-01-13,1135.16,6.6,0,50.32
2023-01-14,928.01,2.9,0,50.26
2023-01-15,955.18,5.6,0,50.38
2023-01-16,1079.75,2.9,0,50.62
2023-01-17,1042.96,3.3,0,50.6
2023-01-18,1183.89,1.0,0,50.51
2023-01-19,1069.83,2.5,0,50.51
2023-01-20,1027.53,1.2,0,50.63
2023-01-21,1323.4,2.4,1,50.34
2023-01-22,1162.28,8.5,0,49.88
2023-01-23,1199.58,2.6,0,49.77
2023-01-24,1058.27,13.4,0,49.52
2023-01-25,1154.16,7.1,0,49.42
2023-01-26,1227.48,6.2,0,49.39
2023-01-27,1109.02,3.2,0,49.3
2023-01-28,1269.34,7.9,0,49.59
2023-01-29,1179.3,4.2,0,49.66
2023-01-30,1217.72,6.4,0,49.72
2023-01-31,1194.16,13.8,0,49.84
2023-02-01,1446.94,5.9,0,49.61
2023-02-02,1267.65,9.7,0,49.82
2023-02-03,1170.45,4.3,0,49.81
2023-02-04,1365.61,6.4,0,49.94
2023-02-05,1168.32,11.9,0,49.73
2023-02-06,1318.25,4.9,0,49.42
2023-02-07,1108.27,12.3,0,49.58
2023-02-08,1178.2,9.1,0,49.66
2023-02-09,1337.4,5.4,0,49.47
2023-02-10,1398.16,9.1,0,49.3
2023-02-11,1347.95,10.3,0,49.53
2023-02-12,1325.66,9.4,0,49.29
2023-02-13,1313.42,3.0,0,49.62
2023-02-14,1201.88,5.6,0,49.44
2023-02-15,1283.84,7.2,0,49.56
2023-02-16,1315.76,7.9,0,49.5
2023-02-17,1473.42,10.2,0,49.62
2023-02-18,1407.85,9.0,0,49.51
2023-02-19,1202.85,4.6,0,49.48
2023-02-20,1417.12,9.9,0,49.49
2023-02-21,1351.64,10.8,0,49.29
2023-02-22,1327.78,10.8,0,49.43
2023-02-23,1461.85,12.6,0,49.33
2023-02-24,1508.87,12.0,0,49.29
2023-02-25,1503.87,11.1,0,49.09
2023-02-26,1331.66,9.7,0,48.57
2023-02-27,1389.39,5.1,0,48.54
2023-02-28,1458.03,11.6,0,49.02
2023-03-01,1526.94,11.1,0,49.18
2023-03-02,1385.81,11.5,0,49.17
2023-03-03,1419.38,7.0,0,49.12
2023-03-04,1331.4,7.8,1,49.12
2023-03-05,1326.37,14.4,0,49.23
2023-03-06,1531.07,11.4,0,49.0
2023-03-07,1589.13,13.8,0,49.22
2023-03-08,1449.86,12.0,0,49.36
2023-03-09,1560.84,12.2,0,49.51
2023-03-10,1499.93,15.2,0,49.59
2023-03-11,1402.41,11.0,0,49.6
2023-03-12,1506.07,13.1,0,49.73
2023-03-13,1626.6,11.7,0,49.85
2023-03-14,1471.95,12.0,0,49.78
2023-03-15,1634.58,12.6,0,49.67
2023-03-16,1218.59,14.4,0,49.69
2023-03-17,1565.06,12.5,0,50.0
2023-03-18,1493.74,18.0,0,49.75
2023-03-19,1457.15,11.8,0,49.45
2023-03-20,1498.1,14.1,0,49.49
2023-03-21,1291.9,13.6,0,49.5
2023-03-22,1470.27,19.5,0,49.53
2023-03-23,1529.39,16.0,0,49.58
2023-03-24,1642.76,18.8,0,49.54
2023-03-25,1444.28,11.5,0,49.83
2023-03-26,1416.26,17.0,0,49.51
2023-03-27,1447.78,19.1,0,49.35
2023-03-28,1590.2,16.9,0,49.33
2023-03-29,1532.09,20.1,0,49.0
2023-03-30,1446.65,15.6,0,48.96
2023-03-31,1551.21,21.7,0,49.3
2023-04-01,1509.7,24.6,0,49.3
2023-04-02,1596.82,16.9,0,49.35
2023-04-03,1429.57,16.9,0,49.09
2023-04-04,1466.67,22.8,0,48.97
2023-04-05,1459.75,23.4,0,48.9
2023-04-06,1351.98,17.4,0,48.83
2023-04-07,1527.16,18.0,0,49.09
2023-04-08,1522.73,18.6,0,49.2
2023-04-09,1496.07,15.7,0,48.98
2023-04-10,1470.88,17.2,0,49.03
2023-04-11,1351.44,17.2,0,49.13
2023-04-12,1449.4,18.2,0,49.35
2023-04-13,1455.54,20.7,0,49.67
2023-04-14,1407.78,21.7,0,49.47
2023-04-15,1469.93,25.9,0,49.31
2023-04-16,1524.37,18.6,0,49.05
2023-04-17,1670.35,24.8,0,49.01
2023-04-18,1496.82,21.4,0,49.1
2023-04-19,1502.6,22.2,0,49.3
2023-04-20,1466.74,24.6,0,49.28
2023-04-21,1279.5,19.5,0,49.22
2023-04-22,1465.79,24.2,0,49.25
2023-04-23,1471.38,23.8,0,49.08
2023-04-24,1708.47,25.1,0,49.5
2023-04-25,1439.56,24.7,0,49.18
2023-04-26,1485.46,31.4,0,49.22
2023-04-27,1448.21,22.4,0,49.62
2023-04-28,1331.05,23.0,0,49.62
2023-04-29,1558.31,22.9,0,49.58
2023-04-30,1515.2,23.4,0,49.51
2023-05-01,1514.96,23.4,0,49.48
2023-05-02,1340.63,29.1,0,49.75
2023-05-03,1567.44,30.0,0,49.31
2023-05-04,1282.44,24.3,0,49.62
2023-05-05,1476.65,23.8,0,49.33
2023-05-06,1632.22,27.9,0,49.28
2023-05-07,1309.22,25.1,0,49.19
2023-05-08,1346.61,28.9,0,49.31
2023-05-09,1408.06,27.8,0,48.99
2023-05-10,1342.48,22.9,0,49.08
2023-05-11,1232.38,32.3,0,49.49
2023-05-12,1388.8,33.2,0,49.21
2023-05-13,1270.1,26.2,0,49.25
2023-05-14,1417.97,27.1,0,49.12
2023-05-15,1272.84,29.4,0,49.2
2023-05-16,1513.83,29.7,1,49.21
2023-05-17,1274.47,30.9,0,49.08
2023-05-18,1314.43,35.2,0,49.18
2023-05-19,1421.74,28.8,0,49.54
2023-05-20,1210.95,27.1,0,49.5
2023-05-21,1350.32,25.6,0,49.64
2023-05-22,1451.74,27.7,1,49.39
2023-05-23,1153.63,30.0,0,49.19
2023-05-24,1326.11,35.7,0,49.29
2023-05-25,1326.8,28.9,0,49.59
2023-05-26,1372.07,31.3,0,49.66
2023-05-27,1163.19,30.8,0,49.59
2023-05-28,1147.75,34.6,0,49.59
2023-05-29,1324.81,38.8,0,49.34
2023-05-30,1295.06,29.8,0,49.46
2023-05-31,1283.08,30.1,0,49.64
2023-06-01,1285.27,34.8,0,49.55
2023-06-02,1175.13,33.9,0,49.46
2023-06-03,1258.81,37.6,0,49.51
2023-06-04,1257.26,33.9,0,49.42
2023-06-05,1148.82,31.2,0,49.41
2023-06-06,1399.08,34.2,0,49.83
2023-06-07,1252.06,35.9,0,49.78
2023-06-08,1077.66,35.2,0,49.71
2023-06-09,1254.51,34.4,0,49.58
2023-06-10,1083.39,36.2,0,49.73
2023-06-11,1251.51,36.6,0,49.69
2023-06-12,1280.56,37.4,0,49.56
2023-06-13,1074.49,35.3,0,49.83
2023-06-14,1244.69,33.0,0,50.11
2023-06-15,1181.39,34.0,0,49.99
2023-06-16,1214.04,37.3,0,49.62
2023-06-17,1313.19,31.4,0,49.82
2023-06-18,1090.61,35.0,0,49.68
2023-06-19,1031.39,32.8,0,49.84
2023-06-20,1009.39,34.2,0,49.45
2023-06-21,1008.3,38.0,0,49.62
2023-06-22,1073.69,34.8,0,49.38
2023-06-23,1107.01,34.5,0,49.53
2023-06-24,1092.04,30.3,0,49.53
2023-06-25,1138.55,36.7,0,49.34
2023-06-26,1048.57,36.5,0,49.26
2023-06-27,1184.05,41.1,0,49.4
2023-06-28,1003.64,33.7,0,49.42
2023-06-29,1293.53,35.4,0,49.53
2023-06-30,1075.48,35.5,0,49.93
2023-07-01,918.59,39.5,0,49.62
2023-07-02,888.61,34.6,0,49.94
2023-07-03,1035.34,35.7,0,49.96
