Timestamp,Sheet,Metric,Stage,Model,WMAPE,MAE,MAPE,Accuracy
2026-02-03 12:16:35,Sheet1,Canceled,Univariate,Baseline_SMA,0.59166,22.56190,0.35046,40.83
2026-02-03 12:16:35,Sheet1,Canceled,Multivariate,Baseline_SMA,0.59166,22.56190,0.35046,40.83
2026-02-03 12:16:41,Sheet1,Canceled,Univariate,TBATS,0.75901,28.94365,0.69177,24.10
2026-02-03 12:16:41,Sheet1,Canceled,Univariate,Prophet,0.63184,24.09426,0.62285,36.82
2026-02-03 12:16:42,Sheet1,Canceled,Univariate,LightGBM,0.60922,23.23147,0.48315,39.08
2026-02-03 12:16:44,Sheet1,Canceled,Univariate,HistGB,0.70784,26.99233,0.76055,29.22
2026-02-03 12:16:44,Sheet1,Canceled,Univariate,ExpSmoothing,0.62406,23.79744,0.53304,37.59
2026-02-03 12:16:44,Sheet1,Canceled,Univariate,SARIMAX,0.65663,25.03964,0.68834,34.34
2026-02-03 12:16:45,Sheet1,Canceled,Multivariate,LightGBM,0.72938,27.81352,0.86457,27.06
2026-02-03 12:16:45,Sheet1,Canceled,Multivariate,XGBoost,1.08044,41.20061,1.19452,-8.04
2026-02-03 12:16:46,Sheet1,Canceled,Multivariate,HistGB,0.72955,27.82014,0.82449,27.05
2026-02-03 12:16:46,Sheet1,Canceled,Multivariate,ExtraTrees,0.57776,22.03201,0.52090,42.22
2026-02-03 12:16:46,Sheet1,Canceled,Multivariate,Ridge,0.58582,22.33933,0.50353,41.42
2026-02-03 12:16:46,Sheet1,Canceled,Multivariate,Huber,0.59250,22.59396,0.51047,40.75
2026-02-03 12:16:48,Sheet1,Canceled,Multivariate,ExtraTrees,0.57038,21.75032,0.52090,42.96
2026-02-03 12:16:48,Sheet1,Closed incomplete,Univariate,Baseline_SMA,0.00000,0.00000,0.00000,0.00
2026-02-03 12:16:48,Sheet1,Closed incomplete,Multivariate,Baseline_SMA,0.00000,0.00000,0.00000,0.00
2026-02-03 12:16:48,Sheet1,Closed incomplete,Univariate,Baseline_SMA,0.00000,0.00000,0.00000,0.00
2026-02-03 12:16:48,Sheet1,Closed incomplete,Multivariate,Baseline_SMA,0.00000,0.00000,0.00000,0.00
2026-02-03 12:25:12,Sheet2,APO Canceled,Univariate,Baseline_SMA,0.60000,0.10000,1.00000,0.00
2026-02-03 12:25:12,Sheet2,APO Canceled,Multivariate,Baseline_SMA,0.60000,0.10000,1.00000,0.00
2026-02-03 12:25:12,Sheet2,APO Canceled,Univariate,Baseline_SMA,0.60000,0.10000,1.00000,0.00
2026-02-03 12:25:12,Sheet2,APO Canceled,Multivariate,Baseline_SMA,0.60000,0.10000,1.00000,0.00
2026-02-03 12:25:12,Sheet2,APO Closed Complete,Univariate,Baseline_SMA,0.53486,7.67241,0.89917,46.51
2026-02-03 12:25:12,Sheet2,APO Closed Complete,Multivariate,Baseline_SMA,0.53486,7.67241,0.89917,46.51
2026-02-03 12:25:17,Sheet2,APO Closed Complete,Univariate,TBATS,0.78788,11.30201,1.12122,21.21
2026-02-03 12:25:17,Sheet2,APO Closed Complete,Univariate,Prophet,0.42755,6.13310,0.76048,57.25
2026-02-03 12:25:18,Sheet2,APO Closed Complete,Univariate,LightGBM,1.16563,16.72070,2.14559,-16.56
2026-02-03 12:25:20,Sheet2,APO Closed Complete,Univariate,HistGB,1.08937,15.62688,2.04811,-8.94
2026-02-03 12:25:20,Sheet2,APO Closed Complete,Univariate,ExpSmoothing,0.50155,7.19465,1.08606,49.85
2026-02-03 12:25:20,Sheet2,APO Closed Complete,Univariate,SARIMAX,0.47358,6.79345,0.97955,52.64
2026-02-03 12:25:20,Sheet2,APO Closed Complete,Multivariate,LightGBM,0.99342,14.25048,1.96840,0.66
2026-02-03 12:25:21,Sheet2,APO Closed Complete,Multivariate,XGBoost,1.09690,15.73491,2.15782,-9.69
2026-02-03 12:25:21,Sheet2,APO Closed Complete,Multivariate,HistGB,1.01086,14.50064,2.03034,-1.09
2026-02-03 12:25:21,Sheet2,APO Closed Complete,Multivariate,ExtraTrees,1.21163,17.38067,2.27136,-21.16
2026-02-03 12:25:21,Sheet2,APO Closed Complete,Multivariate,Ridge,0.82304,11.80640,1.56242,17.70
2026-02-03 12:25:21,Sheet2,APO Closed Complete,Multivariate,Huber,0.56295,8.07539,1.10660,43.71
2026-02-03 12:25:22,Sheet2,Manual  Batch,Univariate,Baseline_SMA,0.59943,6.22167,0.43978,40.06
2026-02-03 12:25:22,Sheet2,Manual  Batch,Multivariate,Baseline_SMA,0.59943,6.22167,0.43978,40.06
2026-02-03 12:25:25,Sheet2,Manual  Batch,Univariate,TBATS,0.60406,6.26971,0.39048,39.59
2026-02-03 12:25:26,Sheet2,Manual  Batch,Univariate,LightGBM,0.79869,8.28981,0.75905,20.13
2026-02-03 12:25:28,Sheet2,Manual  Batch,Univariate,HistGB,0.75259,7.81137,0.68854,24.74
2026-02-03 12:25:28,Sheet2,Manual  Batch,Univariate,ExpSmoothing,0.43215,4.48541,0.34188,56.79
2026-02-03 12:25:28,Sheet2,Manual  Batch,Multivariate,LightGBM,0.43246,4.48867,0.36230,56.75
2026-02-03 12:25:29,Sheet2,Manual  Batch,Multivariate,XGBoost,0.42673,4.42916,0.33189,57.33
2026-02-03 12:25:29,Sheet2,Manual  Batch,Multivariate,HistGB,0.48756,5.06049,0.43349,51.24
2026-02-03 12:25:29,Sheet2,Manual  Batch,Multivariate,ExtraTrees,0.38120,3.95662,0.26858,61.88
2026-02-03 12:25:29,Sheet2,Manual  Batch,Multivariate,Ridge,0.43769,4.54293,0.32072,56.23
2026-02-03 12:25:29,Sheet2,Manual  Batch,Multivariate,Huber,0.44833,4.65340,0.34549,55.17
2026-02-03 12:25:32,Sheet2,Manual  Batch,Multivariate,ExtraTrees,0.38120,3.95662,0.26858,61.88
2026-02-03 12:25:32,Sheet2,Manual MIR 6,Univariate,Baseline_SMA,0.60137,18.74631,0.48516,39.86
2026-02-03 12:25:32,Sheet2,Manual MIR 6,Multivariate,Baseline_SMA,0.60137,18.74631,0.48516,39.86
2026-02-03 12:25:37,Sheet2,Manual MIR 6,Univariate,TBATS,0.65772,20.50283,0.65244,34.23
2026-02-03 12:25:37,Sheet2,Manual MIR 6,Univariate,Prophet,0.40875,12.74161,0.40183,59.13
2026-02-03 12:25:37,Sheet2,Manual MIR 6,Univariate,LightGBM,0.53517,16.68265,0.75160,46.48
2026-02-03 12:25:39,Sheet2,Manual MIR 6,Univariate,HistGB,0.52796,16.45777,0.74566,47.20
2026-02-03 12:25:39,Sheet2,Manual MIR 6,Univariate,ExpSmoothing,0.44848,13.98031,0.39597,55.15
2026-02-03 12:25:40,Sheet2,Manual MIR 6,Univariate,SARIMAX,0.44536,13.88287,0.39573,55.46
2026-02-03 12:25:40,Sheet2,Manual MIR 6,Multivariate,LightGBM,0.27285,8.50533,0.37341,72.72
2026-02-03 12:25:40,Sheet2,Manual MIR 6,Multivariate,XGBoost,0.29065,9.06012,0.35401,70.94
2026-02-03 12:25:40,Sheet2,Manual MIR 6,Multivariate,HistGB,0.28604,8.91666,0.42028,71.40
2026-02-03 12:25:40,Sheet2,Manual MIR 6,Multivariate,ExtraTrees,0.29580,9.22095,0.33400,70.42
2026-02-03 12:25:40,Sheet2,Manual MIR 6,Multivariate,Ridge,0.32804,10.22590,0.46206,67.20
2026-02-03 12:25:40,Sheet2,Manual MIR 6,Multivariate,Huber,0.31097,9.69369,0.39126,68.90
2026-02-03 12:25:41,Sheet2,Manual MIR 6,Multivariate,LightGBM,0.27133,8.45804,0.37341,72.87
2026-02-03 20:00:43,Sheet1,Canceled,Univariate,Baseline_SMA,0.59166,22.56190,0.35046,40.83
2026-02-03 20:00:43,Sheet1,Canceled,Multivariate,Baseline_SMA,0.59166,22.56190,0.35046,40.83
2026-02-03 20:00:49,Sheet1,Canceled,Univariate,TBATS,0.75901,28.94365,0.69177,24.10
2026-02-03 20:00:49,Sheet1,Canceled,Univariate,Prophet,0.63184,24.09426,0.62285,36.82
2026-02-03 20:00:49,Sheet1,Canceled,Univariate,LightGBM,0.60922,23.23147,0.48315,39.08
