Date,Daily_Sales
2023-01-01,830.23
2023-01-02,466.26
2023-01-03,584.53
2023-01-04,519.93
2023-01-05,516.67
2023-01-06,558.37
2023-01-07,948.71
2023-01-08,1040.1
2023-01-09,567.5
2023-01-10,556.27
2023-01-11,559.53
2023-01-12,483.26
2023-01-13,612.91
2023-01-14,776.38
2023-01-15,880.18
2023-01-16,570.81
2023-01-17,578.32
2023-01-18,627.72
2023-01-19,693.36
2023-01-20,571.94
2023-01-21,1634.37
2023-01-22,1011.38
2023-01-23,718.39
2023-01-24,648.36
2023-01-25,702.4
2023-01-26,627.08
2023-01-27,654.97
2023-01-28,1092.18
2023-01-29,1005.53
2023-01-30,660.01
2023-01-31,718.29
2023-02-01,938.41
2023-02-02,827.43
2023-02-03,717.11
2023-02-04,1167.56
2023-02-05,1008.66
2023-02-06,723.34
2023-02-07,659.12
2023-02-08,821.1
2023-02-09,814.02
2023-02-10,850.99
2023-02-11,1124.1
2023-02-12,1228.77
2023-02-13,908.66
2023-02-14,887.5
2023-02-15,811.44
2023-02-16,853.87
2023-02-17,843.92
2023-02-18,1264.89
2023-02-19,1033.43
2023-02-20,912.62
2023-02-21,819.04
2023-02-22,833.87
2023-02-23,892.27
2023-02-24,930.43
2023-02-25,1236.03
2023-02-26,1157.22
2023-02-27,958.11
2023-02-28,893.23
2023-03-01,994.85
2023-03-02,976.62
2023-03-03,909.74
2023-03-04,1657.79
2023-03-05,1180.82
2023-03-06,1058.26
2023-03-07,1037.94
2023-03-08,932.72
2023-03-09,1039.57
2023-03-10,930.93
2023-03-11,1273.26
2023-03-12,1311.99
2023-03-13,1037.09
2023-03-14,935.7
2023-03-15,1017.48
2023-03-16,882.02
2023-03-17,1088.47
2023-03-18,1263.52
2023-03-19,1304.44
2023-03-20,898.75
2023-03-21,872.04
2023-03-22,989.88
2023-03-23,976.28
2023-03-24,1033.27
2023-03-25,1245.63
2023-03-26,1283.9
2023-03-27,978.37
2023-03-28,948.2
2023-03-29,929.22
2023-03-30,963.39
2023-03-31,1066.36
2023-04-01,1186.03
2023-04-02,1342.19
2023-04-03,960.37
2023-04-04,1076.43
2023-04-05,985.54
2023-04-06,971.13
2023-04-07,1044.44
2023-04-08,1227.84
2023-04-09,1361.92
2023-04-10,1021.39
2023-04-11,975.45
2023-04-12,1193.13
2023-04-13,892.54
2023-04-14,1061.1
2023-04-15,1293.09
2023-04-16,1351.42
2023-04-17,1108.02
2023-04-18,1001.12
2023-04-19,994.43
2023-04-20,1021.24
2023-04-21,835.49
2023-04-22,1341.23
2023-04-23,1286.81
2023-04-24,1064.88
2023-04-25,966.98
2023-04-26,1074.21
2023-04-27,961.15
2023-04-28,946.43
2023-04-29,1305.09
2023-04-30,1357.77
2023-05-01,1053.41
2023-05-02,1020.63
2023-05-03,1036.17
2023-05-04,931.68
2023-05-05,1001.93
2023-05-06,1438.91
2023-05-07,1176.25
2023-05-08,965.63
2023-05-09,951.19
2023-05-10,922.58
2023-05-11,869.81
2023-05-12,957.26
2023-05-13,1177.54
2023-05-14,1267.74
2023-05-15,960.85
2023-05-16,1549.98
2023-05-17,924.03
2023-05-18,875.03
2023-05-19,901.57
2023-05-20,1186.92
2023-05-21,1249.31
2023-05-22,1530.5
2023-05-23,777.55
2023-05-24,879.56
2023-05-25,804.39
2023-05-26,886.58
2023-05-27,1150.1
2023-05-28,1067.07
2023-05-29,911.27
2023-05-30,851.42
2023-05-31,867.14
2023-06-01,793.27
2023-06-02,798.48
2023-06-03,983.63
2023-06-04,1121.57
2023-06-05,692.92
2023-06-06,953.25
2023-06-07,856.36
2023-06-08,751.87
2023-06-09,891.81
2023-06-10,978.75
2023-06-11,1195.46
2023-06-12,867.96
2023-06-13,701.27
2023-06-14,849.55
2023-06-15,704.39
2023-06-16,735.91
2023-06-17,1091.62
2023-06-18,983.02
2023-06-19,622.77
2023-06-20,727.01
2023-06-21,647.89
2023-06-22,710.87
2023-06-23,677.21
2023-06-24,904.45
2023-06-25,1031.41
2023-06-26,575.38
2023-06-27,731.18
2023-06-28,573.03
2023-06-29,881.83
2023-06-30,712.3
2023-07-01,893.95
2023-07-02,930.86
2023-07-03,595.76
2023-07-04,624.69
2023-07-05,649.99
2023-07-06,1134.5
2023-07-07,648.73
2023-07-08,876.28
2023-07-09,810.66
2023-07-10,462.81
2023-07-11,555.75
2023-07-12,561.06
2023-07-13,491.22
2023-07-14,492.31
2023-07-15,973.99
2023-07-16,864.13
